Foul Words
kutta
kamina
suar
dukkar
gadha
phattu
chakka
harami
saala
saali
haramkhor
nalayak
neech
kutti
kamini
chaman
duffer
nasamajh
bhikmanga
behaya
besharam
chudail
tatti
kuttiya
kuttey
pagal
pagla
namakharam
nakara
saaley
kameena
kayar
kaamchor
ghanchakkar
chomu
bhikmangi
gu
pagli
ghatiya
hijda
namard
napunsak
ullu
khota
najayaz
badir
napoonsak
daayan
chakke
bhains
कुत्ते
हरामखोर
bastard 
shit
jerk
idiot
fuck
dork
dumb
bitch
crap
bloody
sod
badass
piss off
asshole
bugger
heck
choad
hell
berk
bint
blighter
bloodclaat
cock
bullshit
cocksucker
cockwomble
codger
cunt
dick
dickhead
bollocks
dildo
hooker
crickey
rubbish
shag
wanker
piss
twat
bloody hell
wanker
motherfucker
son of a bitch
cheesy
crazy
creepy
clown
weird
teacher's pet
scaredy cat
tattletale
nerd
ginger
bimbo
jock
show off
pissed off
loser
retard
fool
lame
shut up
ass
boobs
pussy
pervert
wimp
stupid
wimp
ticked off
fuck you 
hate 
pathetic
turd
bastard 
